Dia;no_BS;no2_BS;n2o_BS;no_LV;no2_LV;n2o_LV;no_DV;no2_DV;n2o_DV
D12;3.55518;-4.45814;3.095807889;1.913736823;-4.436895731;3.34003071;2.030464752;-4.252330438;6.003369739
D12;3.34487;-2.66072;2.97549085;2.314641247;-3.125394585;4.579910616;3.017338056;-3.402775291;6.296233364
D12;3.80707;-2.52505;2.992219027;2.813392972;-2.378727715;5.15743824;2.776031913;-2.636741189;6.476404259
D12;5.94311;-2.3768;3.506152308;3.990788011;-2.173188237;5.447857971;3.733598263;-1.627174132;6.734402135
D12;6.97226;-2.41862;4.299632973;3.589053549;-1.54196515;4.993566804;4.435510634;-1.273906025;6.894531945
D12;6.64411;-1.69157;3.616861559;4.083431535;-1.173854186;5.722959636;3.472012543;-0.650490481;6.766501375
D12;6.09835;-1.59059;3.950853973;4.611470796;-1.226043791;6.547804463;4.350858183;-0.73023323;6.895281136
D12;5.77877;-1.42514;4.125908091;4.324932829;-1.556952644;5.222442673;4.391920704;-0.970755846;6.990511216
D12;4.86195;-1.09331;3.580412679;2.858695982;-1.023244265;4.236058442;4.706692438;-1.946146798;6.387959237
D12;3.16023;-1.01546;3.561017535;2.207688409;-1.274577543;4.769446346;2.811295572;-1.506072698;6.792135854
D12;2.968;-0.27488;4.829346402;1.641580578;-1.162355579;4.829802461;2.225583356;-1.358847083;6.017145449
D12;2.93884;-1.3384;3.600918512;1.675045667;-1.24979412;4.376014917;3.35417069;-0.785061822;6.406275013
D12;2.93114;-1.26773;3.864876401;1.72729485;-0.959588532;3.414738731;2.344605828;-1.118759808;5.536488354
D12;2.67777;-1.77525;2.847546234;1.625584308;-1.562393509;3.981176298;1.994673007;-1.553727205;6.01071087
D12;2.4207;-1.46091;2.701267274;1.526967447;-1.383631527;3.973874141;1.850021874;-1.285638379;5.759532553
D13;2.02539;-1.30635;2.826490946;1.437531197;-1.398159932;4.399324812;1.792017312;-1.292504483;5.909259464
D13;1.7799;-1.33934;2.379130851;1.363414189;-1.648265791;3.221239222;1.744413916;-1.450428049;5.288220365
D13;2.03593;-1.47887;2.337535243;1.426723398;-1.686409935;2.85777961;1.738129356;-1.433572355;4.753144365
D13;1.89712;-1.5831;1.96970404;1.256961981;-1.726906051;3.367462424;1.706484159;-1.589560401;5.15938048
D13;2.00994;-1.98355;2.078396697;1.426207932;-2.172676076;4.0085396;1.777539699;-2.081264564;5.928679334
D13;1.98878;-1.38426;2.285999364;1.45596823;-1.500271276;3.660386638;1.971757502;-1.506240005;5.481731616
D13;1.93525;-1.25872;1.953054661;1.178106556;-1.321728406;2.691882923;1.792180333;-1.291397326;4.832736993
D13;2.13071;-1.42737;2.709790645;1.506561114;-1.357941007;2.576447205;2.199119371;-1.404179542;5.419527908
D13;2.40953;-1.28666;2.624805482;2.266607919;-1.717137243;3.81010028;2.90291089;-1.636006408;6.749043054
D13;2.05788;-1.6892;2.265758499;1.594785382;-1.990727647;3.730303584;2.224225332;-2.327226008;5.137248505
D13;2.71214;-1.42869;1.690934198;1.002549411;-0.723442534;3.032021194;1.361324129;-1.036331107;5.580701565
D13;2.66763;-0.59937;3.029938083;2.341505298;-0.838341152;4.897472832;2.072875356;-0.782359827;5.832894812
D13;3.74469;-0.65234;3.092100978;2.749352264;-0.498753756;5.868016118;3.235956984;-0.885637809;6.629289362
D13;3.76142;-0.16033;3.220023435;3.317134605;-0.682608621;4.865520937;3.426788847;-0.375836509;5.832522663
D13;4.92118;-0.96303;3.069551204;2.781342071;-0.295805944;5.191548285;3.820119447;-0.680539423;6.234196447
D13;4.65724;-1.1964;3.684408312;3.080928865;-0.610615267;5.832901677;3.507250855;-0.778374607;6.236832085
D13;4.58573;-1.18459;3.876260769;3.6765416;-0.823790818;5.11250846;3.943825946;-0.849458537;6.828732548
D13;2.86414;-0.12693;3.615662429;2.296554819;-0.422529773;4.623993362;2.694854182;-0.602034296;5.787570095
D13;2.93005;-0.43276;3.412509862;2.030091776;-0.495836705;4.071116406;2.496012893;-0.590199134;5.878047256
D13;2.83222;-0.67191;3.182724179;2.003927842;-0.612930124;4.232519797;2.484301155;-0.64678415;6.28496236
D13;2.61569;-1.15592;3.346689554;1.884636794;-1.034252173;4.936410464;2.354358101;-1.019108869;6.632212465
D13;2.311;-1.11123;2.792119127;1.678339483;-0.991507889;5.24087351;2.083398792;-1.059580155;5.812462937
D13;2.11267;-1.00957;2.301244102;1.560598966;-1.013168014;4.855386196;2.101740545;-1.067432693;5.162056337
D13;1.99991;-1.05573;1.940565233;1.473305528;-0.931943337;4.401971515;1.977688143;-0.977311768;6.183782213
D14;2.21167;-1.18015;2.150397478;1.615614376;-1.147372151;4.253297116;1.952297711;-1.131325909;5.358966861
D14;2.09897;-0.90439;2.685326286;1.786708894;-1.358996345;5.486476046;1.865883117;-1.098944262;6.282181212
D14;2.23797;-1.43315;2.563374869;1.494082344;-1.289471739;4.885956758;1.951970558;-1.258510041;5.492098174
D14;1.83716;-1.1984;1.836618001;1.498489892;-1.238048911;3.489780102;1.876481089;-1.221623865;5.224522855
D14;2.53653;-1.36761;2.301559405;1.444627358;-0.920866949;4.951617711;1.890988909;-0.959403024;5.3687923
D14;2.1446;-0.9358;3.673040204;1.374960747;-0.836444267;4.571583243;1.769313531;-0.770213909;5.00554252
D14;2.27793;-1.32215;2.726403711;1.707835943;-1.331801566;4.666255818;1.841062983;-1.126488683;5.510133405
D14;1.95503;-0.66528;1.969599209;1.730980107;-1.037531932;4.760035074;2.091176773;-0.769200696;5.264228413
D14;2.72909;-1.25834;3.163526414;2.181203072;-1.343427443;4.380980134;2.987676054;-1.572073063;5.767139915
D14;3.54206;-1.77083;1.965471262;2.751603535;-1.913342516;3.720270237;2.615821446;-1.461779105;5.191447499
D14;3.08962;-5.17488;3.153474753;2.26198907;-5.676204908;4.434888195;2.645565406;-5.183319229;6.622462624
D14;3.00747;-8.95476;6.212860396;3.134599999;-9.438488403;5.636661356;2.676848732;-9.264773543;6.313985238
D14;3.45801;-2.75593;2.808544466;3.727723864;-3.818746597;5.259536651;3.891046026;-3.618884702;5.707789073
D14;4.04206;-1.79456;2.586815241;3.32816356;-1.933949563;5.874482306;3.482745832;-1.994093368;5.533063857
D14;4.02457;-1.3832;6.107998705;2.877250132;-1.36749143;8.112818087;3.302186298;-1.699754171;6.427641129
D14;4.08105;-0.86597;4.363205615;2.84654941;-1.062186078;6.439389583;3.655424678;-1.586084933;5.921283877
D14;5.30655;-1.69872;3.420218947;3.126801383;-0.92552635;5.553779091;3.721428318;-1.403388409;5.675360867
D14;3.72287;-1.23345;3.105403743;2.708576076;-1.213692564;5.839968433;2.951939658;-1.315043378;5.624231461
D14;3.25088;-1.17823;3.771704742;2.535031113;-1.208741811;7.61776519;2.902421148;-1.259658861;6.243861773
D14;3.12815;-1.6485;4.25200747;2.062674767;-1.36699518;5.843415726;2.467819341;-1.264903723;5.718428029
D14;2.87642;-1.9306;2.825321674;2.010070414;-1.563920035;5.262781254;2.419382359;-1.416644946;5.734959059
D14;2.50044;-2.01655;3.834144284;2.063896145;-2.426187674;5.45597359;2.6812579;-2.441064978;6.528408531
D14;2.17879;-1.90683;2.03443267;2.220327247;-2.543549586;5.404196069;2.373700758;-2.14294269;6.078230313
D14;2.97013;-2.76309;3.854380975;2.133460263;-2.869177763;5.516042496;2.64542169;-2.778243659;5.738129335
D15;3.27877;-3.31069;3.315519294;2.01083174;-3.130141012;4.768853743;2.770201321;-3.240745672;5.825545721
D15;2.7108;-2.59318;3.523467876;2.158013032;-2.855924847;5.138957059;2.862481589;-2.908489384;5.785920717
D15;2.60125;-2.72057;3.13298961;2.085702318;-3.009625032;5.374824113;2.579926741;-2.832327176;5.883062944
D15;2.79524;-2.39646;3.307437413;2.436040928;-2.80811889;6.015173209;2.749885266;-2.560723316;6.256059515
D15;2.5172;-1.3078;3.174695448;1.859596265;-1.322972282;4.714993734;2.420301223;-1.242666091;5.301958139
D15;3.01441;-2.13786;3.786491711;2.311309416;-2.455776378;4.772399244;3.030425409;-2.479646431;5.39049477
D15;2.46703;-1.32004;2.085825046;1.782848321;-1.35208069;4.817229779;2.669338671;-1.733010371;5.275527628
D15;3.11019;-3.24233;3.608430835;2.269300151;-3.199501455;5.426581953;3.062203183;-3.353518212;6.684153829
D15;2.07166;-0.50554;3.858972549;2.039337312;-1.297320413;4.48203868;3.546922613;-2.385397303;5.988119393
D15;3.82648;-3.62042;1.279767106;1.542504539;-2.993167123;3.951999468;1.601624698;-3.258754462;5.037762388
D15;3.04153;-3.46913;3.303510608;1.810182756;-3.831967209;5.531673922;2.087682804;-3.878169377;5.984428085
D15;3.51552;-1.52314;4.039533592;3.459663063;-2.075384424;6.086824803;3.587182587;-2.20415417;6.247454539
D15;4.88845;-1.36759;3.594880932;3.603157959;-1.640549455;5.612518993;3.78561071;-1.302389;6.088176688
D15;6.53813;-1.6256;4.343007586;3.457168859;-1.063182908;6.173267102;4.582907672;-1.627392052;6.494148251
D15;4.48491;-1.04579;4.660252338;3.826768467;-1.309805413;6.955029136;3.38674331;-0.88189409;6.283903129
D15;4.30892;-0.88747;4.199942233;3.281135812;-1.581863442;6.339803124;4.203722675;-1.698406402;6.526157636
D15;4.13876;-1.12545;4.553812104;3.731351439;-1.262579262;6.973921758;3.423503356;-1.166335205;5.791069888
D15;3.53138;-0.79455;4.272699157;2.922374885;-1.159817372;6.250454097;3.649454805;-1.595784946;6.106949443
D15;3.78934;-1.35228;3.845671853;2.696203623;-0.817747224;6.285880078;3.189989608;-1.139358407;5.944517498
D15;3.2056;-1.02294;3.416442096;2.888617853;-1.214456916;6.903929059;2.840587249;-0.812131979;6.200950085
D15;3.20884;-0.78886;3.564419504;2.339944534;-0.520976798;6.38021135;2.928524143;-0.676503733;6.176479575
D15;2.9179;-0.94359;3.05857275;2.500240239;-1.048823939;6.545696851;2.825039531;-0.752881455;6.341311614
D15;2.78266;-0.95072;3.194494567;2.7142255;-1.505523774;5.974057352;2.793061137;-1.081863215;5.638348983
D15;3.10665;-2.46941;4.153668826;2.786217283;-2.789449048;5.45818581;3.192144787;-2.729139329;6.232803833
D16;3.09226;-2.61928;3.146663586;2.678074488;-2.761700847;6.007138008;3.423047046;-2.650188588;4.804018296
D16;3.09547;-2.95647;4.38585522;2.585187411;-3.218340769;5.710435816;3.942527166;-3.777495221;5.121482929
D16;3.31127;-3.42054;3.447145623;2.817315684;-3.601625377;5.030284096;3.521283302;-3.54689676;5.800211223
D16;3.01286;-2.44021;4.398931994;2.95472361;-2.710289015;5.364104306;3.466939353;-2.592833034;6.851046793
D16;2.65149;-1.55676;2.616840584;2.605671636;-1.974529479;5.770337438;2.939142552;-1.676052081;6.391764956
D16;3.26775;-1.51752;2.095360704;3.008152263;-1.56013881;5.233249163;3.370096266;-1.244244428;6.787090265
D16;3.47775;-1.54044;2.914764181;3.015990571;-1.462753851;4.5817299;3.630831659;-1.601819169;5.874955711
D16;2.83993;-0.67811;3.302163102;2.351902748;-0.793354382;4.070238467;2.808638182;-1.169734574;6.181195766
D16;3.73636;-1.02759;4.672642146;2.999427695;-0.779641672;6.371312711;3.46364641;-1.38563604;6.212877806
D16;3.30014;-1.85639;4.479402676;2.369145088;-1.961214509;5.842596792;3.115025268;-2.614998774;6.631302726
D16;3.75366;-1.84852;2.04632086;2.018675074;-1.613350656;4.187695766;2.194126276;-2.142304314;5.646893412
D16;3.79819;-1.35299;3.837951328;2.808142136;-1.138946004;6.104655796;2.957069936;-1.320761744;7.129530542
D16;4.25035;-0.4155;4.031165394;4.013595188;-0.713300073;6.451747102;4.093845935;-0.737495026;6.521002731
D16;4.95339;-0.5944;4.827949347;4.527228091;-0.917849112;7.598201733;4.395960009;-0.441305066;9.474801923
D16;5.53615;-1.03036;4.918378318;3.996138714;-0.918368962;6.303622103;3.834004939;-0.763566722;6.182022183
D16;4.91103;-1.22278;3.912755371;4.205752853;-1.344462806;6.692358553;4.524924384;-1.495479897;6.232781457
D16;4.20677;-2.74549;4.241156561;3.945035592;-3.120738159;6.031938377;4.311366544;-3.264588541;6.46595109
D16;3.63756;-4.34953;3.621594418;3.150447189;-4.715668121;5.704454013;3.05795674;-4.675747167;6.176038793
D16;3.43112;-1.3903;3.734560957;3.209066331;-1.65944275;5.89789513;3.215142571;-1.661082374;6.025684659
D16;3.60901;-1.55637;6.146389987;2.88500494;-1.563983518;5.600396086;3.083931669;-1.402730533;6.301404485
D16;3.4153;-1.55384;6.635667612;2.66973824;-1.426804004;6.104064848;3.140469015;-1.442901472;6.541590472
D16;3.22949;-2.89467;5.461862259;2.771921978;-3.023451856;6.666928274;3.10660866;-2.845597202;6.880721015
D16;3.39843;-2.77392;4.17804254;2.921887402;-3.06332306;5.671078948;2.909675276;-2.658010356;6.714631976
D16;3.23933;-2.57863;4.808345075;2.96944913;-3.096277835;5.176755675;2.855083382;-2.545560833;5.915478251
D17;5.046;-2.60747;3.425643658;3.730154118;-2.391372994;5.826523267;3.116785724;-1.705469081;7.302313443
D17;5.13082;-2.5581;3.335344183;3.221988936;-2.683376085;5.902385242;3.400303834;-2.518892377;6.783767516
D17;5.10314;-2.6372;4.203306097;3.366150246;-2.250924379;6.406309622;3.167692245;-1.755083723;6.994346618
D17;4.53094;-2.03911;4.476938628;3.199726013;-2.057123243;5.875258615;4.106695158;-2.458111575;7.101106957
D17;4.41934;-1.93624;4.026138026;3.330030094;-2.137561673;5.419076541;3.647176212;-1.939056147;7.119748034
D17;4.50652;-2.58705;4.370538405;3.943487324;-3.033952647;5.864768794;4.247142516;-2.937762684;7.22999866
D17;5.07121;-3.87896;4.552201318;4.574037374;-4.450286491;6.64028546;3.830571528;-3.843388455;7.39535907
D17;5.43743;-4.58124;4.907137519;3.857458305;-4.064678049;6.452083583;3.937929127;-3.980593154;7.44436243
D17;5.71949;-5.8457;5.051900388;3.663202375;-5.811725507;5.953045473;4.341337078;-6.316249812;7.33583197
D17;5.82081;-5.04441;4.645319514;3.106832911;-4.714270394;5.249754695;3.61361056;-5.145451274;6.977450161
D17;4.90864;-3.76255;3.181722895;4.653884707;-4.073189847;5.000457668;5.59320728;-3.30928859;9.113606609
D17;4.71192;-4.664;3.912926043;3.273146605;-5.137201253;4.354283669;3.513099734;-4.881929353;8.712451519
D17;8.77209;-2.18605;6.316670412;10.29251537;-4.536370383;6.203075935;6.994868227;-4.109944423;7.642621458
D17;32.56108;-9.72206;9.686541401;15.70264466;-4.731162538;8.105478697;6.813972114;-2.915323859;8.335417627
D17;39.59986;-7.91472;9.22888044;15.75763551;-2.524383813;7.881180051;6.912817101;-2.293809874;7.407444245
D17;39.98609;-10.06698;7.789505952;20.25184001;-3.370316215;7.03733573;7.629109553;-2.592112037;6.900917541
D17;50.92738;-13.16206;9.139021854;20.71143558;-4.39393588;6.864192143;7.501195859;-1.797211334;7.609460917
D17;33.58835;-8.37933;8.836683755;16.25833104;-4.586734108;6.263809405;5.689433478;-2.828321958;7.456281743
D17;26.98564;-6.13918;8.170592797;14.25656199;-3.718186011;5.669831298;5.271221877;-1.832480853;7.202935862
D17;23.80396;-7.49854;6.419280337;11.82614296;-3.324379401;5.522872205;5.310776729;-2.836484019;7.215023369
D17;20.01982;-5.50674;5.988310093;11.6389372;-4.10434962;6.152895623;4.949533209;-2.065969566;6.963629076
D17;17.34262;-6.86078;5.500974408;10.69539207;-6.314416149;6.796949984;5.177062086;-5.131356707;8.246736192
D17;16.06657;-5.79709;6.309899601;8.953087533;-4.794662738;6.16058997;4.557736291;-4.24806872;7.412072134
D17;12.8535;-5.09848;5.145578835;9.009976986;-6.0872875;5.114296283;4.379713975;-4.635589327;7.876267112
D18;13.4166;-9.47822;6.08138545;9.33430029;-11.01315641;6.779912038;4.794323307;-9.941519986;7.00076533
D18;15.16673;-6.88104;5.316444822;7.990059737;-4.277071734;5.874158998;4.23387297;-3.957012821;7.089654444
D18;13.14035;-4.3399;5.080023723;7.889718783;-3.759045703;5.841334898;3.544296517;-3.02117311;6.53425118
D18;13.73203;-6.49748;5.119341259;7.423220825;-4.343422565;6.438427099;4.645586348;-4.590209041;7.282054651
D18;10.62818;-3.55799;5.154550046;6.694124225;-3.484339579;5.736907392;3.643849346;-2.848651108;7.823619002
D18;10.47541;-3.93307;4.899469076;6.671880171;-3.952081327;6.271198641;3.648205654;-3.582827985;7.326152544
D18;9.96821;-4.60197;4.636412165;6.008110928;-4.523422209;5.088243353;4.125917882;-4.16923068;7.357824311
D18;8.58956;-7.02671;4.026310296;6.763105876;-8.34437558;5.323742584;4.214781971;-7.71900582;7.553755547
D18;9.21776;-4.44129;5.109318074;6.353284218;-5.463662797;4.608402306;3.789772732;-5.237134497;6.653540854
D18;9.96928;-4.92783;4.131010059;5.68028924;-4.300490512;4.64943365;3.235384104;-3.97539784;7.083589349
